gene_id	uniprot_id	MW (g/mmol)
YDL201W	TRM8	33.64606
YDL202W	MRPL11	29.90511
YDL203C	ACK1	71.43805
YDL204W	RTN2	44.89962
YDL205C	HEM3	37.71937
YDL206W	YDL206W	85.17409
YDL207W	GLE1	62.03168
YDL208W	NHP2	19.05314
YDL209C	CWC2	39.62825
YDL210W	UGA4	63.69575
YDL211C	YDL211C	40.95403
YDL212W	SHR3	24.61476
YDL213C	NOP6	26.38262
YDL214C	PRR2	78.91671
YDL215C	GDH2	124.90084
YDL216C	RRI1	50.22324
YDL217C	TIM22	23.40637
YDL218W	YDL218W	35.57822
YDL219W	DTD1	17.37412
YDL220C	CDC13	105.01158
YDL222C	FMP45	35.35984
YDL223C	HBT1	119.68387
YDL224C	WHI4	74.91789
YDL225W	SHS1	62.3267
YDL226C	GCS1	40.99638
YDL227C	HO	68.81522
YDL229W	SSB1	70.21717
YDL230W	PTP1	39.63142
YDL231C	BRE4	126.28959
YDL232W	OST4	3.94078
YDL233W	MFG1	53.37369
YDL234C	GYP7	87.39552
YDL235C	YPD1	18.2996
YDL236W	PHO13	36.18652
YDL237W	AIM6	44.45239
YDL238C	GUD1	58.22282
YDL239C	ADY3	91.35045
YDL240W	LRG1	117.14075
YDL241W	YDL241W	13.97782
YDL243C	AAD4	37.86811
YDL244W	THI13	39.49525
YDL245C	HXT15	65.55832
YDL246C	SOR2	42.66435
YDL247W	MPH2	69.30651
YDL248W	COS7	45.21994
YDR001C	NTH1	85.92993
YDR002W	YRB1	23.4716
YDR003W	RCR2	23.93181
YDR003W-A	YDR003W-A	4.3821
YDR004W	RAD57	52.79194
YDR005C	MAF1	44.47431
YDR006C	SOK1	101.71774
YDR007W	TRP1	26.58666
YDR009W	GAL3	59.64469
YDR011W	SNQ2	169.92969
YDR012W	RPL4B	42.13996
YDR013W	PSF1	24.5436
YDR014W	RAD61	71.96261
YDR014W-A	HED1	19.44251
YDR016C	DAD1	10.43323
YDR017C	KCS1	120.87048
YDR018C	YDR018C	45.74706
YDR019C	GCV1	46.96619
YDR020C	DAS2	26.06494
YDR021W	FAL1	46.33685
YDR022C	ATG31	22.59254
YDR023W	SES1	54.49488
YDR025W	RPS11A	18.60313
YDR026C	NSI1	65.46312
YDR027C	VPS54	99.57614
YDR028C	REG1	116.71545
YDR030C	RAD28	58.9263
YDR031W	MIX14	14.36807
YDR032C	PST2	22.49037
YDR033W	MRH1	36.29837
YDR034C	LYS14	91.28089
YDR034C-A	YDR034C-A	6.45684
YDR034C-C	YDR034C-C	50.46317
YDR034C-D	YDR034C-D	201.02529
YDR034W-B	YDR034W-B	6.60327
YDR035W	ARO3	42.31183
YDR036C	EHD3	57.31435
YDR037W	KRS1	68.91474
YDR038C	ENA5	125.24354
YDR039C	ENA2	125.32871
YDR040C	ENA1	125.26463
YDR041W	RSM10	23.10988
YDR042C	YDR042C	22.63096
YDR043C	NRG1	26.82001
YDR044W	HEM13	38.49561
YDR045C	RPC11	13.13076
YDR046C	BAP3	69.06846
YDR047W	HEM12	42.68809
YDR049W	VMS1	72.37044
YDR050C	TPI1	29.1291
YDR051C	DET1	39.41248
YDR052C	DBF4	81.25103
YDR054C	CDC34	33.88037
YDR055W	PST1	48.76505
YDR056C	YDR056C	24.19055
YDR057W	YOS9	61.62793
YDR058C	TGL2	38.20087
YDR059C	UBC5	16.76621
YDR060W	MAK21	117.82003
YDR061W	YDR061W	62.1764
YDR062W	LCB2	64.3444
YDR063W	AIM7	16.98765
YDR064W	RPS13	16.75301
YDR065W	RRG1	42.67357
YDR066C	RTR2	22.22945
YDR067C	OCA6	26.09321
YDR068W	DOS2	36.15328
YDR069C	DOA4	104.90842
YDR070C	FMP16	10.7959
YDR071C	PAA1	21.24288
YDR072C	IPT1	59.71511
YDR073W	SNF11	19.25235
YDR074W	TPS2	105.94724
YDR075W	PPH3	36.31825
YDR076W	RAD55	46.05666
YDR077W	SED1	37.82748
YDR078C	SHU2	25.53012
YDR079C-A	TFB5	8.38402
YDR079W	PET100	12.77437
YDR080W	VPS41	112.06063
YDR081C	PDC2	105.87929
YDR082W	STN1	57.79591
YDR083W	RRP8	45.94498
YDR084C	TVP23	23.19088
YDR085C	AFR1	71.14517
YDR086C	SSS1	9.34484
YDR087C	RRP1	32.25976
YDR088C	SLU7	44.75776
YDR089W	YDR089W	97.37965
YDR090C	YDR090C	35.17645
YDR091C	RLI1	70.05799
YDR092W	UBC13	17.56817
YDR093W	DNF2	186.51538
YDR096W	GIS1	102.47678
YDR097C	MSH6	140.98213
YDR098C	GRX3	28.63943
YDR098C-A	YDR098C-A	50.53952
YDR098C-B	YDR098C-B	199.12112
YDR099W	BMH2	30.77256
YDR100W	TVP15	15.33601
YDR101C	ARX1	68.62224
YDR103W	STE5	103.62611
YDR104C	SPO71	141.34532
YDR105C	TMS1	54.20571
YDR106W	ARP10	32.2766
YDR107C	TMN2	77.34394
YDR108W	TRS85	79.50266
YDR109C	YDR109C	82.44769
YDR110W	FOB1	65.54152
YDR111C	ALT2	58.02516
YDR113C	PDS1	43.50863
YDR114C	YDR114C	10.93168
YDR115W	YDR115W	11.82571
YDR116C	MRPL1	32.18766
YDR117C	TMA64	65.62825
YDR118W	APC4	73.83329
YDR119W	VBA4	87.25383
YDR119W-A	COX26	7.40186
YDR120C	TRM1	66.45569
YDR121W	DPB4	23.38678
YDR122W	KIN1	123.15693
YDR123C	INO2	34.47102
YDR124W	YDR124W	37.24771
YDR125C	ECM18	52.38213
YDR126W	SWF1	38.30069
YDR127W	ARO1	184.55805
YDR128W	MTC5	132.27279
YDR129C	SAC6	73.87078
YDR130C	FIN1	33.48907
YDR131C	YDR131C	64.0572
YDR132C	YDR132C	55.05534
YDR134C	YDR134C	15.07682
YDR135C	YCF1	172.41923
YDR137W	RGP1	76.23885
YDR138W	HPR1	84.53331
YDR139C	RUB1	9.28674
YDR140W	MTQ2	25.93515
YDR141C	DOP1	193.13225
YDR142C	PEX7	43.46945
YDR143C	SAN1	69.96533
YDR144C	MKC7	66.68684
YDR145W	TAF12	63.52554
YDR146C	SWI5	81.95928
YDR147W	EKI1	61.68622
YDR148C	KGD2	53.13653
YDR150W	NUM1	315.77115
YDR151C	CTH1	37.2174
YDR152W	GIR2	31.09653
YDR153C	ENT5	46.81723
YDR155C	CPR1	19.4451
YDR156W	RPA14	15.11573
YDR158W	HOM2	42.04576
YDR159W	SAC3	148.691
YDR160W	SSY1	94.26575
YDR161W	YDR161W	44.39548
YDR162C	NBP2	27.19129
YDR163W	CWC15	20.39324
YDR164C	SEC1	82.14481
YDR165W	TRM82	50.63865
YDR166C	SEC5	109.74419
YDR167W	TAF10	23.97833
YDR168W	CDC37	58.20948
YDR169C	STB3	58.09778
YDR169C-A	YDR169C-A	5.4437
YDR170C	SEC7	228.67087
YDR170W-A	YDR170W-A	50.51928
YDR171W	HSP42	43.92788
YDR172W	SUP35	82.15284
YDR173C	ARG82	40.29425
YDR174W	HMO1	28.2448
YDR175C	RSM24	36.99798
YDR176W	NGG1	81.30023
YDR177W	UBC1	24.75123
YDR178W	SDH4	20.99349
YDR179C	CSN9	18.50459
YDR179W-A	YDR179W-A	52.1296
YDR180W	SCC2	169.39171
YDR181C	SAS4	55.0644
YDR182W	CDC1	56.79321
YDR182W-A	YDR182W-A	8.08987
YDR183W	PLP1	26.99343
YDR184C	ATC1	33.00865
YDR185C	UPS3	21.44963
YDR186C	YDR186C	99.36158
YDR188W	CCT6	62.76163
YDR189W	SLY1	74.98069
YDR190C	RVB1	53.67088
YDR191W	HST4	43.58284
YDR192C	NUP42	47.71205
YDR194C	MSS116	74.9709
YDR194W-A	YDR194W-A	5.59986
YDR195W	REF2	61.43868
YDR196C	CAB5	28.24806
YDR197W	CBS2	44.46924
YDR198C	RKM2	54.27042
YDR200C	VPS64	70.4219
YDR201W	SPC19	19.56703
YDR202C	RAV2	41.19374
YDR204W	COQ4	37.63578
YDR205W	MSC2	80.77099
YDR206W	EBS1	100.74108
YDR207C	UME6	94.5566
YDR208W	MSS4	88.21631
YDR210C-C	YDR210C-C	50.41826
YDR210C-D	YDR210C-D	199.01309
YDR210W	YDR210W	9.95447
YDR210W-A	YDR210W-A	50.53995
YDR210W-B	YDR210W-B	201.39148
YDR211W	GCD6	81.11977
YDR212W	TCP1	63.71799
YDR213W	UPC2	105.68479
YDR214W	AHA1	41.20017
YDR216W	ADR1	149.39768
YDR217C	RAD9	148.70557
YDR218C	SPR28	48.88277
YDR219C	MFB1	53.01625
YDR221W	GTB1	81.60331
YDR222W	YDR222W	48.92243
YDR223W	CRF1	53.20466
YDR224C	HTB1	14.16234
YDR225W	HTA1	14.77287
YDR226W	ADK1	25.37912
YDR227W	SIR4	155.63907
YDR228C	PCF11	73.51334
YDR229W	IVY1	51.5264
YDR231C	COX20	23.97751
YDR232W	HEM1	62.07061
YDR233C	RTN1	34.56438
YDR234W	LYS4	80.74973
YDR235W	PRP42	62.62246
YDR236C	FMN1	25.396
YDR237W	MRPL7	33.89172
YDR238C	SEC26	111.57951
YDR239C	YDR239C	89.23642
YDR240C	SNU56	56.40668
YDR242W	AMD2	63.10069
YDR243C	PRP28	67.55274
YDR244W	PEX5	71.21734
YDR245W	MNN10	44.71232
YDR246W	TRS23	25.05865
YDR246W-A	YDR246W-A	7.43634
YDR247W	VHS1	53.34131
YDR248C	YDR248C	22.27976
YDR249C	YDR249C	42.5515
YDR251W	PAM1	95.42418
YDR252W	BTT1	18.04383
YDR253C	MET32	22.0873
YDR254W	CHL4	53.24918
YDR255C	RMD5	49.12014
YDR256C	CTA1	60.35368
YDR257C	RKM4	56.93499
YDR258C	HSP78	92.40672
YDR259C	YAP6	43.0214
YDR260C	SWM1	19.06968
YDR261C	EXG2	64.19383
YDR261C-C	YDR261C-C	50.60041
YDR261C-D	YDR261C-D	182.17061
YDR261W-A	YDR261W-A	50.52306
YDR261W-B	YDR261W-B	201.32461
YDR262W	YDR262W	31.87311
YDR263C	DIN7	49.79876
YDR264C	AKR1	88.79786
YDR265W	PEX10	38.89518
YDR266C	HEL2	74.20565
YDR267C	CIA1	38.97326
YDR268W	MSW1	44.15343
YDR270W	CCC2	114.86619
YDR272W	GLO2	32.3198
YDR273W	DON1	42.35296
YDR275W	BSC2	26.22106
YDR276C	PMP3	6.02553
YDR277C	MTH1	48.98224
YDR279W	RNH202	39.78749
YDR280W	RRP45	34.91668
YDR281C	PHM6	11.99812
YDR282C	YDR282C	46.4932
YDR283C	GCN2	188.15503
YDR284C	DPP1	32.62127
YDR285W	ZIP1	101.96424
YDR286C	YDR286C	13.32248
YDR287W	INM2	34.17846
YDR288W	NSE3	33.78859
YDR289C	RTT103	47.81712
YDR291W	HRQ1	123.39093
YDR292C	SRP101	73.11576
YDR293C	SSD1	143.47144
YDR294C	DPL1	68.40503
YDR295C	HDA2	77.09232
YDR296W	MHR1	27.20958
YDR297W	SUR2	39.97036
YDR298C	ATP5	24.57949
YDR299W	BFR2	60.7011
YDR300C	PRO1	49.61705
YDR301W	CFT1	155.59495
YDR302W	GPI11	26.15331
YDR303C	RSC3	100.37142
YDR304C	CPR5	26.15977
YDR305C	HNT2	25.67564
YDR306C	YDR306C	54.84794
YDR307W	PMT7	74.5802
YDR308C	SRB7	16.26786
YDR309C	GIC2	42.73205
YDR310C	SUM1	119.92883
YDR311W	TFB1	74.59819
YDR312W	SSF2	53.01762
YDR313C	PIB1	33.89918
YDR314C	RAD34	80.95379
YDR315C	IPK1	32.56854
YDR316W	OMS1	54.92759
YDR316W-A	YDR316W-A	50.52547
YDR316W-B	YDR316W-B	199.13511
YDR317W	HIM1	47.66548
YDR318W	MCM21	42.06427
YDR319C	YFT2	31.3334
YDR320C	SWA2	75.18121
YDR320C-A	DAD4	8.42538
YDR321W	ASP1	43.93137
YDR322C-A	TIM11	11.32157
YDR322W	MRPL35	42.40241
YDR323C	PEP7	59.93218
YDR324C	UTP4	90.95238
YDR325W	YCG1	117.22864
YDR326C	YSP2	163.10953
YDR328C	SKP1	22.55906
YDR329C	PEX3	50.77986
YDR330W	UBX5	56.80852
YDR331W	GPI8	46.38236
YDR332W	IRC3	77.98708
YDR333C	RQC1	82.12738
YDR334W	SWR1	175.89337
YDR335W	MSN5	140.53243
YDR336W	YDR336W	37.02773
YDR337W	MRPS28	32.09922
YDR338C	YDR338C	77.50361
YDR339C	FCF1	22.2169
YDR341C	YDR341C	69.93391
YDR342C	HXT7	65.7118
YDR343C	HXT6	65.68178
YDR345C	HXT3	65.78686
YDR346C	SVF1	55.10958
YDR347W	MRP1	36.09858
YDR348C	PAL1	57.57006
YDR349C	YPS7	66.11149
YDR350C	ATP22	78.90004
YDR351W	SBE2	99.43667
YDR352W	YPQ2	35.15574
YDR353W	TRR1	35.73593
YDR354W	TRP4	43.916
YDR356W	SPC110	107.65575
YDR357C	CNL1	13.87731
YDR358W	GGA1	63.80928
YDR359C	EAF1	111.54451
YDR361C	BCP1	32.56866
YDR362C	TFC6	77.99502
YDR363W	ESC2	52.14106
YDR363W-A	SEM1	10.29758
YDR364C	CDC40	52.58808
YDR365C	ESF1	73.41819
YDR365W-A	YDR365W-A	50.59643
YDR365W-B	YDR365W-B	199.13416
YDR366C	YDR366C	14.76282
YDR367W	KEI1	25.1318
YDR368W	YPR1	36.29716
YDR369C	XRS2	96.29782
YDR370C	DXO1	50.85479
YDR371W	CTS2	58.44878
YDR372C	VPS74	38.85905
YDR373W	FRQ1	21.70661
YDR374C	PHO92	34.43391
YDR374W-A	WIP1	9.82581
YDR375C	BCS1	51.90428
YDR376W	ARH1	57.19279
YDR377W	ATP17	11.24958
YDR378C	LSM6	9.75857
YDR379C-A	SDH6	9.13888
YDR379W	RGA2	115.47854
YDR380W	ARO10	73.76856
YDR381C-A	YDR381C-A	13.14675
YDR381W	YRA1	26.38192
YDR382W	RPP2B	12.03165
YDR383C	NKP1	27.02547
YDR384C	ATO3	31.41891
YDR385W	EFT2	98.99303
YDR386W	MUS81	72.28992
YDR387C	YDR387C	60.89959
YDR388W	RVS167	55.10116
YDR389W	SAC7	74.15153
YDR390C	UBA2	71.78568
YDR391C	YDR391C	26.39065
YDR392W	SPT3	39.15977
YDR393W	SHE9	51.82123
YDR394W	RPT3	48.91117
YDR395W	SXM1	106.72851
YDR397C	NCB2	16.20769
YDR398W	UTP5	74.83764
YDR399W	HPT1	25.52493
YDR400W	URH1	38.35828
YDR402C	DIT2	56.02741
YDR403W	DIT1	61.74744
YDR404C	RPB7	20.09179
YDR405W	MRP20	30.33034
YDR406W	PDR15	173.92139
YDR407C	TRS120	145.19467
YDR408C	ADE8	24.84416
YDR409W	SIZ1	104.33194
YDR410C	STE14	27.12177
YDR411C	DFM1	38.60847
YDR412W	RRP17	27.50067
YDR414C	ERD1	40.91626
YDR415C	YDR415C	42.46204
YDR416W	SYF1	96.95355
YDR418W	RPL12B	18.96832
YDR419W	RAD30	73.13614
YDR420W	HKR1	194.1103
YDR421W	ARO80	106.92193
YDR422C	SIP1	92.12011
YDR423C	CAD1	46.58291
YDR424C	DYN2	10.7685
YDR425W	SNX41	68.56776
YDR427W	RPN9	44.6934
YDR428C	BNA7	29.99837
YDR429C	TIF35	31.872
YDR430C	CYM1	114.32535
YDR432W	NPL3	48.48875
YDR434W	GPI17	62.41441
YDR435C	PPM1	37.12475
YDR436W	PPZ2	80.95417
YDR437W	GPI19	15.59794
YDR438W	THI74	41.4477
YDR439W	LRS4	39.63418
YDR440W	DOT1	67.09529
YDR441C	APT2	20.43993
YDR443C	SSN2	162.87745
YDR444W	YDR444W	80.12839
YDR446W	ECM11	34.26015
YDR447C	RPS17B	15.79491
YDR448W	ADA2	49.47577
YDR449C	UTP6	50.53811
YDR450W	RPS18A	17.08815
YDR451C	YHP1	40.36016
YDR452W	PPN1	78.68997
YDR453C	TSA2	23.11162
YDR454C	GUK1	21.29492
YDR456W	NHX1	70.8174
YDR457W	TOM1	370.25759
YDR458C	HEH2	77.39976
YDR459C	PFA5	42.34572
YDR460W	TFB3	37.8696
YDR461C-A	YDR461C-A	9.12945
YDR461W	MFA1	4.07577
YDR462W	MRPL28	17.18985
YDR463W	STP1	59.29927
YDR464W	SPP41	165.52561
YDR465C	RMT2	47.72429
YDR466W	PKH3	102.64655
YDR468C	TLG1	26.57517
YDR469W	SDC1	20.59637
YDR470C	UGO1	57.42545
YDR471W	RPL27B	16.61534
YDR472W	TRS31	31.45777
YDR473C	PRP3	55.06255
YDR475C	JIP4	99.22776
YDR476C	YDR476C	25.81212
YDR477W	SNF1	72.21316
YDR478W	SNM1	23.8205
YDR479C	PEX29	63.177
YDR480W	DIG2	37.02296
YDR481C	PHO8	65.19738
YDR482C	CWC21	15.52877
YDR483W	KRE2	50.74024
YDR484W	VPS52	72.28472
YDR485C	VPS72	91.60924
YDR486C	VPS60	26.13894
YDR487C	RIB3	23.8021
YDR488C	PAC11	62.83576
YDR489W	SLD5	33.6613
YDR490C	PKH1	88.39157
YDR492W	IZH1	36.13875
YDR493W	MZM1	14.10284
YDR494W	RSM28	43.19421
YDR495C	VPS3	114.70807
YDR496C	PUF6	75.13692
YDR497C	ITR1	65.5423
YDR498C	SEC20	44.80069
YDR499W	LCD1	84.83294
YDR500C	RPL37B	10.15591
YDR501W	PLM2	59.61714
YDR502C	SAM2	43.91829
YDR503C	LPP1	31.93578
YDR504C	SPG3	14.42826
YDR505C	PSP1	98.45149
YDR506C	GMC1	70.96474
YDR507C	GIN4	130.24935
YDR508C	GNP1	76.00024
YDR510W	SMT3	11.3831
YDR511W	SDH7	15.73993
YDR512C	EMI1	21.56597
YDR513W	GRX2	16.48962
YDR514C	YDR514C	55.96046
YDR515W	SLF1	50.47723
YDR516C	EMI2	57.05771
YDR517W	GRH1	43.74331
YDR518W	EUG1	59.3637
YDR519W	FPR2	15.74967
YDR520C	URC2	87.191
YDR522C	SPS2	57.39429
YDR523C	SPS1	56.89261
YDR524C	AGE1	54.47829
YDR524C-B	YDR524C-B	7.21577
YDR524W-C	YDR524W-C	3.34028
YDR525W-A	SNA2	8.7218
YDR527W	RBA50	51.04124
YDR528W	HLR1	47.79784
YDR529C	QCR7	14.07388
YDR530C	APA2	39.15004
YDR531W	CAB1	40.70256
YDR532C	KRE28	44.18566
YDR533C	HSP31	27.48521
YDR534C	FIT1	56.96871
YDR536W	STL1	63.96293
YDR538W	PAD1	27.15542
YDR539W	FDC1	58.45032
YDR540C	IRC4	20.86222
YDR541C	YDR541C	39.58067
YDR542W	PAU10	13.26489
YDR545W	YRF1-1	206.33348
YEL001C	IRC22	25.69487
YEL002C	WBP1	50.02344
YEL003W	GIM4	13.00487
YEL004W	YEA4	39.06605
YEL005C	VAB2	31.84791
YEL006W	YEA6	37.91542
YEL007W	MIT1	75.55461
YEL009C	GCN4	32.50847
YEL011W	GLC3	80.94581
YEL012W	UBC8	25.29531
YEL013W	VAC8	66.30689
YEL015W	EDC3	63.89408
YEL016C	NPP2	56.89371
YEL017C-A	PMP2	4.72886
YEL017W	GTT3	37.97302
YEL018W	EAF5	32.27838
YEL019C	MMS21	30.83987
YEL020C	YEL020C	64.04923
YEL020W-A	TIM9	10.66367
YEL021W	URA3	30.91626
YEL022W	GEA2	163.05067
YEL023C	YEL023C	78.47456
YEL024W	RIP1	24.91573
YEL025C	YEL025C	135.96786
YEL026W	SNU13	14.08217
YEL027W	VMA3	18.24244
YEL029C	BUD16	36.45779
YEL030W	ECM10	72.77966
YEL031W	SPF1	138.91321
YEL032W	MCM3	109.97498
YEL033W	MTC7	15.8617
YEL034W	HYP2	17.9527
YEL035C	UTR5	19.06214
YEL036C	ANP1	59.3959
YEL037C	RAD23	45.3652
YEL038W	UTR4	26.26051
YEL039C	CYC7	13.1615
YEL040W	UTR2	53.10392
YEL041W	YEF1	56.91537
YEL042W	GDA1	59.72051
YEL043W	YEL043W	107.38109
YEL044W	IES6	18.77887
YEL046C	GLY1	44.38577
YEL047C	FRD1	55.14552
YEL048C	TCA17	17.38756
YEL049W	PAU2	13.03754
YEL050C	RML2	45.7717
YEL051W	VMA8	29.24411
YEL052W	AFG1	59.03937
YEL053C	MAK10	84.42307
YEL054C	RPL12A	18.96832
YEL055C	POL5	117.68776
YEL056W	HAT2	47.07754
YEL057C	YEL057C	26.32365
YEL058W	PCM1	64.82507
YEL059C-A	SOM1	8.54231
YEL060C	PRB1	73.21377
YEL061C	CIN8	114.49943
YEL062W	NPR2	69.36213
YEL063C	CAN1	66.14646
YEL064C	AVT2	53.92551
YEL065W	SIT1	69.98134
YEL066W	HPA3	21.48542
YEL067C	YEL067C	22.41236
YEL068C	YEL068C	12.84133
YEL069C	HXT13	64.80108
YEL070W	DSF1	58.97156
YEL071W	DLD3	57.67895
YEL072W	RMD6	27.00315
YEL073C	YEL073C	12.48827
YEL075C	YEL075C	14.54609
YEL076C	YEL076C	24.84145
YEL076C-A	YEL076C-A	24.42703
YEL077C	YEL077C	145.44312
YER001W	MNN1	88.09363
YER002W	NOP16	27.11727
YER003C	PMI40	49.39998
YER004W	FMP52	26.55569
YER005W	YND1	71.41036
YER006W	NUG1	59.12437
YER007C-A	TMA20	21.13981
YER007W	PAC2	59.45571
YER008C	SEC3	153.14361
YER009W	NTF2	14.48385
YER010C	YER010C	27.21091
YER011W	TIR1	26.09162
YER012W	PRE1	22.87199
YER013W	PRP22	131.26399
YER014C-A	BUD25	18.19566
YER014W	HEM14	63.20048
YER015W	FAA2	84.83287
YER016W	BIM1	39.55525
YER017C	AFG3	86.76317
YER018C	SPC25	25.61934
YER019C-A	SBH2	9.89181
YER019W	ISC1	53.86
YER020W	GPA2	51.82243
YER021W	RPN3	59.30594
YER022W	SRB4	78.14388
YER023W	PRO3	34.01623
YER024W	YAT2	105.23125
YER025W	GCD11	60.97383
YER026C	CHO1	31.00664
YER027C	GAL83	48.8637
YER028C	MIG3	44.55415
YER029C	SMB1	23.00445
YER030W	CHZ1	17.49394
YER031C	YPT31	25.09673
YER032W	FIR1	100.81574
YER033C	ZRG8	121.666
YER034W	YER034W	21.83068
YER035W	EDC2	16.73148
YER036C	ARB1	70.89503
YER037W	PHM8	36.79671
YER038C	KRE29	53.00721
YER038W-A	YER038W-A	14.087
YER039C	HVG1	28.13368
YER039C-A	YER039C-A	8.68868
YER040W	GLN3	81.838
YER041W	YEN1	87.0685
YER042W	MXR1	21.32409
YER043C	SAH1	52.18948
YER044C	ERG28	17.12278
YER044C-A	MEI4	46.54666
YER045C	ACA1	56.08803
YER046W	SPO73	16.58106
YER047C	SAP1	101.92412
YER048C	CAJ1	44.52523
YER048W-A	ISD11	11.219
YER049W	TPA1	74.62741
YER050C	RSM18	15.21934
YER051W	JHD1	57.85291
YER052C	HOM3	60.78907
YER053C	PIC2	35.08242
YER053C-A	YER053C-A	4.17923
YER054C	GIP2	64.07197
YER055C	HIS1	34.34651
YER056C	FCY2	59.83149
YER056C-A	RPL34A	14.22767
YER057C	HMF1	14.71074
YER058W	PET117	12.74352
YER059W	PCL6	48.09961
YER060W	FCY21	59.43023
YER060W-A	FCY22	59.75066
YER061C	CEM1	49.44868
YER062C	GPP2	28.75085
YER063W	THO1	25.3948
YER064C	VHR2	56.52307
YER065C	ICL1	63.76488
YER066W	RRT13	20.81777
YER067W	RGI1	19.59294
YER068W	MOT2	67.82435
YER069W	ARG5,6	99.10481
YER070W	RNR1	100.38287
YER071C	TDA2	14.17672
YER072W	VTC1	14.69039
YER073W	ALD5	60.55358
YER074W	RPS24A	16.12406
YER074W-A	YOS1	9.91626
YER075C	PTP3	105.61638
YER076C	YER076C	34.90542
YER077C	YER077C	78.99328
YER078C	ICP55	58.08948
YER078W-A	YER078W-A	6.09371
YER079W	YER079W	23.67116
YER080W	AIM9	73.32199
YER081W	SER3	53.43157
YER082C	UTP7	64.48546
YER083C	GET2	32.16564
YER084W	YER084W	14.74556
YER085C	YER085C	19.99695
YER086W	ILV1	67.39538
YER087C-B	SBH1	9.67576
YER087W	AIM10	67.02764
YER088C	DOT6	74.62817
YER089C	PTC2	53.44834
YER090W	TRP2	57.65062
YER091C	MET6	88.84058
YER092W	IES5	14.12929
YER093C	TSC11	163.15912
YER093C-A	AIM11	14.94606
YER094C	PUP3	23.48989
YER095W	RAD51	46.40884
YER096W	SHC1	57.25156
YER098W	UBP9	87.60369
YER099C	PRS2	35.95857
YER100W	UBC6	28.34188
YER101C	AST2	50.72865
YER102W	RPS8B	22.23483
YER103W	SSA4	73.21181
YER104W	RTT105	23.68889
YER105C	NUP157	157.05175
YER106W	MAM1	34.72682
YER107C	GLE2	42.41172
YER109C	FLO8	92.82842
YER110C	KAP123	124.53614
YER111C	SWI4	124.92051
YER112W	LSM4	21.53569
YER113C	TMN3	81.36978
YER114C	BOI2	116.04969
YER115C	SPR6	22.14385
YER116C	SLX8	32.0655
YER117W	RPL23B	16.15154
YER118C	SHO1	40.16739
YER119C	AVT6	49.55595
YER120W	SCS2	29.50611
YER121W	YER121W	12.90841
YER122C	GLO3	56.97747
YER123W	YCK3	60.06254
YER124C	DSE1	66.20943
YER125W	RSP5	94.19535
YER126C	NSA2	31.00511
YER127W	LCP5	40.06733
YER128W	VFA1	23.86728
YER129W	SAK1	130.66556
YER130C	COM2	50.5773
YER131W	RPS26B	13.70458
YER132C	PMD1	196.235
YER133W	GLC7	36.15961
YER134C	YER134C	21.0319
YER136W	GDI1	51.61878
YER137C	YER137C	17.20086
YER137C-A	YER137C-A	50.59643
YER138C	YER138C	198.96278
YER138W-A	YER138W-A	3.27293
YER139C	RTR1	25.86233
YER140W	EMP65	62.61958
YER141W	COX15	55.93766
YER142C	MAG1	33.58152
YER143W	DDI1	47.97512
YER144C	UBP5	93.22371
YER145C	FTR1	46.49637
YER146W	LSM5	11.05912
YER147C	SCC4	74.28136
YER148W	SPT15	26.98796
YER149C	PEA2	47.46056
YER150W	SPI1	16.26678
YER151C	UBP3	104.12998
YER152C	YER152C	49.04418
YER153C	PET122	29.02365
YER154W	OXA1	45.13786
YER155C	BEM2	244.83652
YER156C	YER156C	38.75181
YER157W	COG3	91.18837
YER158C	YER158C	64.12393
YER159C	BUR6	16.7287
YER159C-A	YER159C-A	50.52547
YER160C	YER160C	199.4253
YER161C	SPT2	38.52048
YER162C	RAD4	88.66991
YER163C	GCG1	26.6024
YER164W	CHD1	168.16324
YER165W	PAB1	66.82665
YER166W	DNF1	180.137
YER167W	BCK2	96.67573
YER168C	CCA1	62.88709
YER169W	RPH1	92.14873
YER170W	ADK2	25.4865
YER171W	RAD3	88.55612
YER172C	BRR2	248.7909
YER173W	RAD24	75.35303
YER174C	GRX4	27.92567
YER175C	TMT1	34.66866
YER175W-A	YER175W-A	5.84618
YER176W	ECM32	130.45403
YER177W	BMH1	29.78342
YER178W	PDA1	47.83891
YER179W	DMC1	38.52
YER180C	ISC10	29.54074
YER180C-A	SLO1	10.07893
YER182W	FMP10	28.3834
YER183C	FAU1	24.38767
YER184C	TOG1	90.28053
YER185W	PUG1	33.71006
YER186C	YER186C	35.8636
YER187W	YER187W	15.82968
YER188C-A	YER188C-A	11.25381
YER189W	YER189W	14.42696
YER190C-B	YER190C-B	18.58826
YER190W	YRF1-2	193.19888
YFL001W	DEG1	51.54288
YFL002C	SPB4	70.4701
YFL002W-A	YFL002W-A	201.42043
YFL002W-B	YFL002W-B	50.53304
YFL003C	MSH4	97.93771
YFL004W	VTC2	95.98527
YFL005W	SEC4	24.68395
YFL007W	BLM10	245.86566
YFL008W	SMC1	139.37988
YFL009W	CDC4	88.69948
YFL010C	WWM1	25.30175
YFL010W-A	AUA1	10.87989
YFL011W	HXT10	62.63255
YFL012W	YFL012W	17.17021
YFL013C	IES1	79.67857
YFL014W	HSP12	12.90352
YFL016C	MDJ1	59.08825
YFL017C	GNA1	18.54063
